id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Crossing,Mesa Wind,country,nostalgic,0.58,104,0.74,0.67,0.83
12,Bass Cathedral,Driftcore,electronic,intense,0.89,140,0.38,0.91,0.04
13,Velvet Underground,The Somber Keys,blues,melancholic,0.44,88,0.32,0.48,0.76
14,Cherry Blossom Run,Hana Trio,classical,peaceful,0.21,66,0.78,0.29,0.97
15,Neon Carnival,Sugar Riot,pop punk,energetic,0.87,168,0.72,0.83,0.08
16,Smoke and Brass,The Low Notes,jazz,moody,0.52,95,0.43,0.57,0.81
17,Iron Meridian,Graveload,metal,intense,0.96,176,0.22,0.61,0.06
18,Golden Afternoon,Sole Acoustic,folk,relaxed,0.33,94,0.80,0.44,0.94
19,Circuits and Rain,Pale Vector,darkwave,melancholic,0.63,112,0.27,0.69,0.31
20,Cumbia del Sol,Tierra Viva,latin,happy,0.78,116,0.88,0.86,0.42
